Urban area,Size,Latitude,Longitude,Motor vehicle,Walk,Tech workers,Insured,Broadband,Median rent,Gini index,Population,College,High school,No high school,Has rapid transit
"Bismarck, ND",39.454,46.819853,-100.800391,0.9510279696341193,0.007369968385654739,1120,0.9426934097421203,0.8217661028449571,863,0.4581,89313,0.3290789764301265,0.6086833054617738,0.06223771810809958,No
"Bloomington, IN",44.818000000000005,39.162873,-86.548361,0.7829823807477438,0.0810951153129924,1593,0.9419909533510583,0.8574116803691839,853,0.5088,116918,0.501681442983797,0.41318444383658626,0.08513411317961672,No
"Bloomington--Normal, IL",49.267999999999994,40.493927,-88.978753,0.8892582827009057,0.039335664335664336,6705,0.9627168423160503,0.8223544897842385,806,0.5084,135773,0.4858050353801062,0.47886391229167435,0.03533105232821947,No
"Boise City, ID",135.44400000000002,43.617235,-116.292336,0.8974648563018784,0.01463716911452373,8082,0.9193644478552387,0.8154837952702526,928,0.471,398630,0.3609680299119599,0.5891064885196792,0.04992548156836086,Yes
"Bonita Springs, FL",201.267,26.210606,-81.744876,0.8922184304935754,0.006757802771776077,1685,0.863142513275889,0.857044604025488,1302,0.5115,366939,0.3838826482327285,0.5111886049733229,0.10492874679394862,No
"Boston, MA--NH--RI",1951.3990000000001,42.373132,-71.14070799999999,0.7206410436812823,0.055999921778318903,118575,0.970568896909863,0.87265416272784,1410,0.485,4433253,0.4784391755395902,0.43387327632815925,0.08768754813225053,Yes
"Bowling Green, KY",45.649,36.955690999999995,-86.439165,0.9376498800959233,0.03237410071942446,690,0.938527064912659,0.8544958007869854,769,0.4808,93806,0.3070311319329001,0.5700468490252381,0.12292201904186187,No
"Bremerton, WA",168.137,47.617754,-122.62618400000001,0.7444019240223249,0.06279098909784946,3293,0.9628309016791804,0.9180038814730663,1178,0.4072,215444,0.33671245340412964,0.6118199039904397,0.05146764260543058,Yes
"Bridgeport--Stamford, CT--NY",478.063,41.135296999999994,-73.53400500000001,0.8001227720639708,0.027399709224059016,13281,0.917489360748286,0.8628546772625314,1422,0.5369,944504,0.4602392061286718,0.43258785547486545,0.10717293839646275,Yes
"Bristol--Bristol, TN--VA",63.99399999999999,36.604532,-82.152878,0.9495887020455703,0.009973065443692218,265,0.9159340832466837,0.7979673767586531,690,0.4317,65535,0.2543543234051324,0.598371637637844,0.1472740389570236,No
"Brownsville, TX",84.867,25.966448,-97.473579,0.9500490821081612,0.007525923251379377,407,0.6864962471445665,0.3674132437650087,696,0.4522,230836,0.18975672607908703,0.4543899745375341,0.35585329938337884,No
"Buffalo, NY",385.488,42.924929999999996,-78.823675,0.892344101132906,0.025121919421592608,9752,0.9649234625446101,0.8123531327061947,775,0.4731,939012,0.3370581660263497,0.5786765289730701,0.08426530500058026,Yes
"Burlington, NC",91.224,36.078967999999996,-79.408365,0.9481135076668575,0.00641025641025641,1624,0.8734324078658577,0.7898149732823702,791,0.4662,136543,0.2797686074496037,0.5590183480161621,0.16121304453423418,No
"Burlington, VT",62.809,44.471732,-73.151442,0.7647813641298983,0.11185141315434476,3480,0.965703435056111,0.8448086471286085,1273,0.4728,112294,0.5012928340057965,0.4218190600670569,0.07688810592714668,No
"Camarillo, CA",22.011,34.231343,-119.03471699999999,0.8852116704805492,0.005320366132723112,1459,0.9585620312565467,0.9218755768875762,1951,0.4585,72381,0.45790967131709626,0.48086624103412945,0.061224087648774336,No
"Canton, OH",167.623,40.827886,-81.43010600000001,0.92713815659694,0.013366684289017067,2614,0.9393515244561533,0.8474450563502753,731,0.4383,276771,0.2190837484955132,0.6943390668880864,0.08657718461640031,No
"Cape Coral, FL",371.567,26.602515000000004,-81.842109,0.9038515540710306,0.012023174354502593,3217,0.862732265497238,0.8606771356279369,1104,0.467,632627,0.25904397607263024,0.6365489930672309,0.10440703086013883,No
"Carbondale, IL",49.675,37.748872999999996,-89.065603,0.8537672417105314,0.05647980942867023,80,0.9284567268723141,0.8029960324817383,681,0.4977,66448,0.2923788557152398,0.6398693942167364,0.06775175006802385,No
"Casper, WY",30.534,42.836277,-106.320225,0.9119878132189269,0.014736056705838463,516,0.8664414587332053,0.8360763420063496,875,0.4234,65680,0.2578147790768126,0.6748647981509324,0.06732042277225501,No
"Cedar Rapids, IA",84.21400000000001,41.998597,-91.663308,0.9313553054983711,0.018507784861991085,4594,0.9566434166295845,0.8641668638120023,736,0.4082,188160,0.3322462646893126,0.6149634602109072,0.0527902750997802,No
"Champaign, IL",47.044,40.098548,-88.24774000000001,0.7476100780353779,0.088657253324647,2978,0.9660074369015104,0.828779364644887,819,0.5456,153239,0.5084105816007939,0.4530338601544159,0.03855555824479028,No
"Charleston, WV",105.42399999999999,38.380421999999996,-81.691011,0.8933117868214497,0.03405118395884176,1897,0.9387174241750422,0.7863928494721364,647,0.4872,147810,0.27882188994764795,0.6048265602048887,0.11635154984746338,No
"Charleston--North Charleston, SC",304.60699999999997,32.902255,-80.01554300000001,0.8810477344407551,0.022302586347758797,9171,0.8855161464310122,0.8149577935193167,1116,0.473,637032,0.3691849407667102,0.547762425242318,0.08305263399097179,No
"Charlotte, NC--SC",776.872,35.249654,-80.815826,0.8651051838400228,0.01580779738511174,34774,0.8975466140581295,0.8870826791344606,1092,0.4829,1462493,0.4494253935976831,0.46315330026393897,0.08742130613837795,Yes
"Charlottesville, VA",34.882,38.057542,-78.483837,0.7873224668763702,0.08329043942426842,2111,0.9409622988685745,0.8594104868174188,1186,0.5059,103716,0.587861244976828,0.3415295077676331,0.07060924725553896,No
"Chattanooga, TN--GA",307.805,35.058647,-85.211135,0.9113295473436402,0.02066206556304531,4790,0.9004119221019595,0.7749677885183963,826,0.495,401945,0.29869579010026626,0.6118736923148211,0.08943051758491266,Yes
"Cheyenne, WY",35.241,41.141090000000005,-104.80611800000001,0.8725789746245469,0.04520973588814086,536,0.8828634267846732,0.8222094910722811,956,0.4316,79364,0.26556769632122196,0.642935460697947,0.09149684298083104,No
"Chicago, IL--IN",2483.539,41.827126,-87.895427,0.7626483836536575,0.031252698879466655,148494,0.9213682855257794,0.8380959595242266,1087,0.4869,8667303,0.3858765805407179,0.4955293361737475,0.11859408328553464,Yes
"Chico, CA",34.462999999999994,39.750248,-121.843748,0.8409458327652364,0.0500574589509359,1275,0.9385045557537482,0.9028575463703983,998,0.482,104216,0.3636659436008677,0.5804617291602108,0.0558723272389216,No
"Cincinnati, OH--KY--IN",797.297,39.185505,-84.46204300000001,0.8988099048576126,0.020008044284632397,32304,0.95101278438714,0.8604157156609734,806,0.4659,1670680,0.36226884688368083,0.5518526276529082,0.08587852546341102,No
"Clarksville, TN--KY",109.756,36.576771,-87.345582,0.9226744913394066,0.03382351268666053,1482,0.9120058799092449,0.8886811585018062,970,0.4294,176696,0.26216967328220286,0.648810283705355,0.08902004301244218,No
"Cleveland, OH",778.458,41.44323,-81.608373,0.8939130166300119,0.01887085971604053,25704,0.9532421852122777,0.8193683331526735,807,0.4902,1760589,0.3344991660309538,0.5761764458695905,0.08932438809945566,Yes
"Cleveland, TN",54.644999999999996,35.175401,-84.851226,0.9061822461748126,0.02799975221458217,591,0.8764504123184704,0.8325602443715352,750,0.4281,69442,0.21453617399023525,0.6463826009764758,0.13908122503328896,No
"Coeur d'Alene, ID",47.884,47.70665,-116.76368300000001,0.9224654859852183,0.012092356116899416,664,0.9229168898889246,0.8668604518092972,978,0.3966,113063,0.2682091733937343,0.6783254539947589,0.053465372611506905,No
"College Station--Bryan, TX",71.55699999999999,30.626675,-96.331052,0.8985783906393874,0.015204258090596716,2678,0.8766774617430082,0.8242518917679431,909,0.519,197587,0.4137731365932552,0.4409080925663399,0.14531877084040493,No
"Colorado Springs, CO",188.21699999999998,38.872965,-104.770602,0.8779241385009503,0.02842079167010991,13665,0.9304591473944401,0.9070277011549004,1133,0.425,616448,0.3833199419095006,0.5507892622406764,0.06589079584982309,No
"Columbia, MO",62.068999999999996,38.955624,-92.327874,0.859824327458256,0.04572993970315399,2126,0.9035806645675936,0.8052878153680734,863,0.4597,129215,0.4878789871752713,0.4611114764879974,0.05100953633673134,No
"Columbia, SC",386.132,34.036235999999995,-81.077207,0.873485051376887,0.05968261932286246,9242,0.9008504034426144,0.8384103324771173,916,0.4785,581004,0.36915330942768193,0.544340083267269,0.08650660730504907,Yes
"Columbus, GA--AL",148.278,32.484694,-84.981031,0.8858791581805838,0.012530307438657745,2259,0.8791241069175365,0.7474884225682021,828,0.4922,256172,0.23463329703524605,0.6348596986643534,0.13050700430040052,No
"Columbus, OH",517.869,40.021161,-82.968532,0.8885362162385525,0.021433257059622627,35907,0.9322092029320881,0.8860564358052924,933,0.4616,1520011,0.4044093963788878,0.5115046475465969,0.08408595607451536,No
"Concord, CA",204.152,37.848003000000006,-122.017105,0.7570516175034964,0.0196254846695984,26647,0.9704320722919221,0.9267321400155863,2093,0.4598,666478,0.5976626115649064,0.35514527355991443,0.04719211487517912,Yes
"Concord, NC",180.70499999999998,35.489602000000005,-80.580668,0.9140302154016472,0.005439917542302517,2782,0.8967744753335808,0.8310244711737869,785,0.4437,232145,0.25657266083004054,0.5981766999819219,0.1452506391880375,No
"Conroe--The Woodlands, TX",134.305,30.123632,-95.452341,0.8833765731949658,0.01283395893133142,4686,0.8634924880745397,0.9176158407495043,1223,0.5022,293872,0.410560205386212,0.4848626013861499,0.10457719322763812,No
"Corpus Christi, TX",125.004,27.745333000000002,-97.412599,0.936780570897641,0.012091570742786353,1201,0.8341589385592837,0.8374461287585071,971,0.474,335985,0.2175754656098603,0.6167774071279893,0.1656471272621504,No
"Dallas--Fort Worth--Arlington, TX",1815.4660000000001,32.812727,-96.972001,0.9071083073950322,0.013377024729579782,121776,0.8248945217159338,0.8695654525722283,1084,0.467,5807934,0.34461591342570363,0.4985558407787438,0.15682824579555252,Yes
"Dalton, GA",80.899,34.792759999999994,-84.938839,0.9713057767665276,0.01385412716470737,493,0.8112408283425284,0.8426764979499018,703,0.4681,90030,0.14310620369025134,0.4916279238704053,0.36526587243934333,No
"Danbury, CT--NY",135.495,41.458333,-73.42604200000001,0.8988317308717249,0.009454878802737331,3877,0.9011346969404114,0.8913598074608905,1409,0.4457,178022,0.39594119859478405,0.4868961212518906,0.11716268015332539,No
"Davenport, IA--IL",146.372,41.517262,-90.512939,0.9272092798309511,0.019211452466164184,2826,0.9494192728596618,0.8182411938909716,749,0.4453,284624,0.2750060066647863,0.6246722450301377,0.1003217483050759,No
"Dayton, OH",353.463,39.754825,-84.16816,0.9162729101409265,0.023050241562992197,13314,0.9412053708511292,0.8513647296453297,770,0.4594,729643,0.3109182658453368,0.5922916595207206,0.09679007463394261,Yes
"Decatur, AL",59.781000000000006,34.559441,-87.001129,0.9633146031130918,0.004424207194988051,407,0.9056308269676866,0.7946722210041658,628,0.4486,69312,0.22709130728452423,0.6434492498516078,0.129459442863868,No
